num_bdi_actions,num_rl_actions,plan_found,variation,error,bdi_score,rl_score,final_score,complete,num_plans,plan_library_size,plans_pct,eps,drrn_model_file
0,50,0,267,True,0,75,75,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,268,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,269,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,270,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,271,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,272,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,273,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,274,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,275,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,276,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,277,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,278,True,0,58,58,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,279,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,280,True,0,58,58,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,281,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,282,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,283,True,0,58,58,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,284,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,285,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,286,True,0,58,58,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,287,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,288,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,289,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,290,True,0,58,58,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,291,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,292,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,293,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,294,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,295,True,0,58,58,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,296,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,297,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,298,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,299,True,0,67,67,False,0,11,0,242,models/models_task13/model-steps32000-eps242.pt
0,50,0,225,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,226,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,227,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,228,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,229,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,230,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,231,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,232,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,233,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,234,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,235,True,0,75,75,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,236,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,237,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,238,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,239,True,0,75,75,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,240,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,241,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,242,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,243,True,0,75,75,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,244,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,245,True,0,75,75,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,246,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,247,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,248,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,249,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,250,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,251,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,252,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,253,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,254,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,255,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,256,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,257,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,258,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,259,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,260,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,261,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,262,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,263,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,264,True,0,75,75,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,265,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,266,True,0,75,75,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,267,True,0,75,75,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,268,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,269,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,270,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,271,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,272,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,273,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,274,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,275,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,276,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,277,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,278,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,279,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,280,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,281,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,282,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,283,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,284,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,285,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,286,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,287,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
0,50,0,288,True,0,67,67,False,0,11,0,302,models/models_task13/model-steps40000-eps302.pt
